original_path,source_category,assigned_category,new_path,status,duplicate_of,width,height,bytes
images/labaguettedenormandy.com/wp-content/gallery/crepes/Du-Bocage--fc254ec223.jpg,crepes,crepes,crepes/du-bocage.jpg,canonical,,1080,810,103594
images/labaguettedenormandy.com/wp-content/gallery/crepes/Du-Pecheur--502d95b2f7.jpg,crepes,crepes,crepes/du-pecheur.jpg,canonical,,1080,810,118370
images/labaguettedenormandy.com/wp-content/gallery/crepes/lemon-crepe--f3186978e1.jpg,crepes,crepes,crepes/lemon-crepe.jpg,canonical,,900,675,67974
images/labaguettedenormandy.com/wp-content/gallery/crepes/crepeandegg1--89b02a014a.png,crepes,crepes,crepes/savory-egg-crepe-2.png,canonical,,640,480,32584
images/labaguettedenormandy.com/wp-content/gallery/crepes/crepeandegg2--9d744206e2.png,crepes,crepes,crepes/savory-egg-crepe-3.png,canonical,,640,480,26752
images/labaguettedenormandy.com/wp-content/gallery/crepes/crepe3-640--48419b53ff.png,crepes,crepes,crepes/savory-egg-crepe.png,canonical,,640,480,40232
images/labaguettedenormandy.com/wp-content/gallery/crepes/strawberrybananacrepe2016--c3a6210cf6.png,crepes,crepes,crepes/strawberry-banana-crepe.png,canonical,,640,480,59874
images/labaguettedenormandy.com/wp-content/gallery/crepes/strawberry-crepe-1--fb6e41ec18.jpg,crepes,crepes,crepes/strawberry-crepe-1.jpg,canonical,,1080,810,66920
images/labaguettedenormandy.com/wp-content/gallery/crepes/crepe1-640--d509ce586e.png,crepes,crepes,crepes/strawberry-dessert-crepe.png,canonical,,640,480,62332
images/labaguettedenormandy.com/wp-content/gallery/crepes/display-only1--41912d9043.jpg,crepes,crepes,crepes/sweet-breakfast-crepe.jpg,canonical,,1115,900,148650
images/labaguettedenormandy.com/wp-content/gallery/graduation/Forestier--522440866c.jpg,graduation,graduation,graduation/forestier-graduation-cake.jpg,canonical,,1080,810,100270
images/labaguettedenormandy.com/wp-content/gallery/graduation/Fraisier-Graduation-3--86cce929c8.jpg,graduation,graduation,graduation/fraisier-graduation-cake.jpg,canonical,,3264,2448,764704
images/labaguettedenormandy.com/wp-content/gallery/graduation/Framboisier--4237e1fe0d.jpg,graduation,graduation,graduation/framboisier-graduation-cake.jpg,canonical,,1200,900,357757
images/labaguettedenormandy.com/wp-content/gallery/graduation/Raspberry-delight--25477d247c.jpg,graduation,graduation,graduation/raspberry-delight-graduation-cake-2.jpg,canonical,,3264,2448,716652
images/labaguettedenormandy.com/wp-content/gallery/graduation/Rapsberry-delight--56a5d51732.jpg,graduation,graduation,graduation/raspberry-delight-graduation-cake.jpg,canonical,,4032,3024,1267474
images/labaguettedenormandy.com/wp-content/gallery/graduation/Saint-Domingue--ff34f67cff.jpg,graduation,graduation,graduation/saint-domingue-graduation-cake.jpg,canonical,,3264,2448,544628
images/labaguettedenormandy.com/wp-content/gallery/graduation/Three-Chocolate--41f008c1e6.jpg,graduation,graduation,graduation/three-chocolate-graduation-cake.jpg,canonical,,3264,2448,863144
images/labaguettedenormandy.com/wp-content/uploads/2022/10/front-scaled--15ad232033.jpg,other,location,_duplicates/location/bakery-interior--duplicate-1.jpg,duplicate-alternate,location/bakery-interior.webp,2560,1920,493268
images/labaguettedenormandy.com/wp-content/uploads/2025/07/front-scaled-test--f52dcebffd.webp,other,location,location/bakery-interior.webp,canonical,,2560,1920,395424
images/labaguettedenormandy.com/wp-content/uploads/2016/12/coffeecroissant-e1482619611905--0b4cf24b52.jpg,other,menu,menu/coffee-and-croissants.jpg,canonical,,1171,878,78548
images/labaguettedenormandy.com/wp-content/gallery/pastry/Blueberry_amandine--5a257b1dd9.jpg,pastry,pastries,_duplicates/pastries/blueberry-amandine--duplicate-1.jpg,duplicate-alternate,pastries/blueberry-amandine.jpg,1200,900,280544
images/labaguettedenormandy.com/wp-content/gallery/pastry/Peach_amandine--5e411977b4.jpg,pastry,pastries,_duplicates/pastries/peach-amandine--duplicate-1.jpg,duplicate-alternate,pastries/peach-amandine.jpg,675,900,145047
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Mystery-dressesl--b1b630e3e8.jpg,daily-choice,pastries,pastries/almond-cream-pastry.jpg,canonical,,1080,810,139954
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Black-Forest-cake--82d2b67938.jpg,daily-choice,pastries,pastries/black-forest-cake.jpg,canonical,,1080,810,39036
images/labaguettedenormandy.com/wp-content/uploads/2020/05/Blueberry_amandine-scaled--2341a78086.jpg,other,pastries,pastries/blueberry-amandine.jpg,canonical,,1365,1024,126752
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/chocolate-eclair--f8c49a66e0.jpg,daily-choice,pastries,pastries/chocolate-eclair.jpg,canonical,,675,900,50018
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Chocolate-Truffle--991e4f0b1b.jpg,daily-choice,pastries,pastries/chocolate-truffle.jpg,canonical,,1080,810,76668
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Choux-puff-Divorce--ebfc0790f8.jpg,daily-choice,pastries,pastries/choux-puff-divorce.jpg,canonical,,1080,810,54762
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/choux-puff-Salambo--4877407f9b.jpg,daily-choice,pastries,pastries/choux-puff-salambo.jpg,canonical,,1080,810,46106
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Citronnier-Cake-l--dc0fd1f070.jpg,daily-choice,pastries,pastries/citronnier-cake-slice.jpg,canonical,,1080,810,40768
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Cream-Brulee--7705d0ee76.jpg,daily-choice,pastries,pastries/cream-brulee.jpg,canonical,,1080,810,45618
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Desire-Coconut--e4f96281d4.jpg,daily-choice,pastries,pastries/desire-coconut.jpg,canonical,,1080,810,50630
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Framboisier-cake--a97e402b1f.jpg,daily-choice,pastries,pastries/framboisier-cake.jpg,canonical,,1080,810,55344
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Ganachaux-chocolate--9eac7f4638.jpg,daily-choice,pastries,pastries/ganachaux-chocolate.jpg,canonical,,1080,810,63892
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Le-Duo-chocolate-coffee--319b278fcc.jpg,daily-choice,pastries,pastries/le-duo-chocolate-coffee.jpg,canonical,,1080,810,45678
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Moka-chocolate-cake--6790adbe77.jpg,daily-choice,pastries,pastries/moka-chocolate-cake.jpg,canonical,,1080,810,73784
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Mont-Blanc-cake--1dc30bc07b.jpg,daily-choice,pastries,pastries/mont-blanc-cake.jpg,canonical,,1080,810,39766
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Napoleon-Praline--81bd0bcd55.jpg,daily-choice,pastries,pastries/napoleon-praline.jpg,canonical,,675,900,62666
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Napoleon--71cbb55371.jpg,daily-choice,pastries,pastries/napoleon.jpg,canonical,,1080,810,58104
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Nenouko-Milk-Chocolate--5cc2743834.jpg,daily-choice,pastries,pastries/nenouko-milk-chocolate.jpg,canonical,,1080,810,49546
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Nenouko-White-chocolate--10c3c25c47.jpg,daily-choice,pastries,pastries/nenouko-white-chocolate.jpg,canonical,,1080,810,43850
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Opera-Cake--17dc946ad9.jpg,daily-choice,pastries,pastries/opera-cake.jpg,canonical,,1080,810,43164
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Opera--d11848c2db.jpg,daily-choice,pastries,pastries/opera.jpg,canonical,,1080,810,71290
images/labaguettedenormandy.com/wp-content/uploads/2020/05/Peach_amandine-scaled--9218445b0d.jpg,other,pastries,pastries/peach-amandine.jpg,canonical,,1200,1600,109086
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Raspberry-puff-pastry--c09f1b8ddc.jpg,daily-choice,pastries,pastries/raspberry-puff-pastry.jpg,canonical,,1080,810,100514
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Royal-Cake--930645b3d0.jpg,daily-choice,pastries,pastries/royal-cake.jpg,canonical,,1080,810,58246
images/labaguettedenormandy.com/wp-content/uploads/2021/10/Strawberry-Amandine-scaled--1c0bf18409.jpg,other,pastries,pastries/strawberry-amandine.jpg,canonical,,1335,1024,205579
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Three-Chocolate-cake--6d51217f25.jpg,daily-choice,pastries,pastries/three-chocolate-cake.jpg,canonical,,1080,810,39562
images/labaguettedenormandy.com/wp-content/gallery/daily-choice/Truffade-chocolate-ganache--a3c20fba1b.jpg,daily-choice,pastries,pastries/truffade-chocolate-ganache.jpg,canonical,,1080,810,73076
images/labaguettedenormandy.com/wp-content/gallery/petitsfours/petitsfours4--8ecade530d.jpg,petitsfours,petits-fours,_duplicates/petits-fours/savory-petits-fours--duplicate-1.jpg,duplicate-alternate,petits-fours/savory-petits-fours.jpg,640,480,79850
images/labaguettedenormandy.com/wp-content/gallery/petitsfours/petitsfours6--2758ac0604.jpg,petitsfours,petits-fours,_duplicates/petits-fours/savory-petits-fours-2--duplicate-1.jpg,duplicate-alternate,petits-fours/savory-petits-fours-2.jpg,641,480,60272
images/labaguettedenormandy.com/wp-content/gallery/petitsfours/petitsfourssweet4--848b2d2b8a.png,petitsfours,petits-fours,_duplicates/petits-fours/sweet-petits-fours--duplicate-1.png,duplicate-alternate,petits-fours/sweet-petits-fours.jpg,640,480,71822
images/labaguettedenormandy.com/wp-content/gallery/petitsfours/sweetpetitsfours--3773255434.png,petitsfours,petits-fours,_duplicates/petits-fours/sweet-petits-fours-2--duplicate-1.png,duplicate-alternate,petits-fours/sweet-petits-fours-2.jpg,640,480,50878
images/labaguettedenormandy.com/wp-content/gallery/cookies/christmascookies11--3cfd155895.png,cookies,petits-fours,petits-fours/assorted-christmas-cookies.png,canonical,,360,480,50778
images/labaguettedenormandy.com/wp-content/gallery/cookies/christmascookies13--5d7fc84c91.png,cookies,petits-fours,petits-fours/assorted-holiday-cookies.png,canonical,,640,480,67516
images/labaguettedenormandy.com/wp-content/gallery/cookies/Christmas-cookie--a93d82dcc6.jpg,cookies,petits-fours,petits-fours/christmas-cookie.jpg,canonical,,900,1200,337021
images/labaguettedenormandy.com/wp-content/gallery/cookies/christmascookies10--a80d268a80.png,cookies,petits-fours,petits-fours/decorated-christmas-tree-cookies.png,canonical,,640,480,72462
images/labaguettedenormandy.com/wp-content/gallery/cookies/cookies6--e391389ceb.png,cookies,petits-fours,petits-fours/jam-and-holiday-cookies.png,canonical,,640,480,74820
images/labaguettedenormandy.com/wp-content/gallery/petitsfours/petitsfours1--ceb2bda94c.jpg,petitsfours,petits-fours,petits-fours/petits-fours1.jpg,canonical,,641,480,37924
images/labaguettedenormandy.com/wp-content/gallery/petitsfours/petitsfours2--f22c28bfb7.jpg,petitsfours,petits-fours,petits-fours/petits-fours2.jpg,canonical,,640,480,43644
images/labaguettedenormandy.com/wp-content/gallery/petitsfours/petitsfours3--8b7192148c.jpg,petitsfours,petits-fours,petits-fours/petits-fours3.jpg,canonical,,641,480,53122
images/labaguettedenormandy.com/wp-content/gallery/petitsfours/petitsfours5--41a5471189.jpg,petitsfours,petits-fours,petits-fours/petits-fours5.jpg,canonical,,641,480,56500
images/labaguettedenormandy.com/wp-content/gallery/petitsfours/petitsfours7--5ea16c8ebc.jpg,petitsfours,petits-fours,petits-fours/petits-fours7.jpg,canonical,,641,480,65180
